,ID,LAND_NR,Partei_NR,Partei_ABK,Name,Titel,Vorname,Nachname,Jahrgang,Geschlecht,Kandidatur,LP,WKR_NR,BereitsMdB,MdB_2021,Einzug,Prozent,erneut,TW_acc,TW_user,TW_id,TW_verif,FB_acc,FB_user,FB_id,FB_typ,FB_verif
0,1,5,2,SPD,"Abdi, Sanae",,Sanae,Abdi,1986,1,3,40.0,93.0,0,1,1,"27,9",0,1,_sanaeabdi,200695422,1,1,sanaeabdispd,111576226993790,1,1
1,2,8,4,FDP,"Abel, Valentin Christian",,Valentin Christian,Abel,1991,2,3,12.0,268.0,0,1,2,'null',0,1,Valentin_C_Abel,1699863337,1,1,valentinabel.fdp,1586699104972808,1,1
19,20,6,4,FDP,"Adler, Katja",,Katja,Adler,1974,1,3,6.0,176.0,0,1,2,'null',0,1,katjadler,712941191,2,1,katjadler,106967991184300,1,1
24,25,8,6,GRÜNE,"Aeffner, Stephanie",,Stephanie,Aeffner,1976,1,3,15.0,279.0,0,1,2,'null',0,1,s_aeffner,982288614,2,1,stephanie.aeffner,666817845,3,2
42,43,8,5,DIE LINKE,"Akbulut, Gökay",,Gökay,Akbulut,1982,1,3,2.0,275.0,1,1,2,'null',1,1,AkbulutGokay,800457587510476800,1,1,goekay.akbulut,1628676764050562,1,1
49,50,13,2,SPD,"Alabali-Radovan, Reem",,Reem,Alabali-Radovan,1990,1,3,6.0,12.0,0,1,1,"29,4",0,1,ReemAlabali,1217456777643659269,2,1,reem.alabaliradovan,102424668580172,1,1
50,51,3,1,CDU,"Albani, Stephan Theodor Johannes",,Stephan Theodor Johannes,Albani,1968,2,3,11.0,27.0,1,1,2,'null',1,1,Stephan_Albani,884120154,2,1,StephanAlbaniMdB,286689658107688,1,1
60,61,6,5,DIE LINKE,"Al-Dailami, Ali Abass Yahya",,Ali Abass Yahya,Al-Dailami,1981,2,3,2.0,173.0,0,1,2,'null',0,1,ali_aldailami,989599708917137408,2,1,AliAlDailami,1024105678,3,2
65,66,9,4,FDP,"Al-Halak, Muhanad",,Muhanad,Al-Halak,1989,2,3,14.0,227.0,0,1,2,'null',0,1,HalakMuhanad,1084016250324484096,1,1,AlHalakMuhanad,167241520711879,1,1
74,75,8,4,FDP,"Alt, Renata",,Renata,Alt,1965,1,3,7.0,262.0,1,1,2,'null',1,1,RenataAlt_MdB,1001837201276235777,1,1,AltRenata,1264289176971421,1,1
77,78,6,1,CDU,"Altenkamp, Norbert Maria",,Norbert Maria,Altenkamp,1972,2,3,16.0,181.0,1,1,1,"33,3",1,1,NAltenkamp,1319570576957149184,2,1,AltenkampMdB,143012542927620,1,1
99,100,5,2,SPD,"Andres, Dagmar",,Dagmar,Andres,1969,1,3,18.0,92.0,0,1,2,'null',0,1,DagmarAndres,126421442,2,1,DagmarAndresSPD,333974029985255,1,2
106,107,2,2,SPD,"Annen, Niels",,Niels,Annen,1973,2,3,2.0,20.0,1,1,2,'null',1,1,NielsAnnen,42401449,1,1,nielsannen,601163706652420,1,1
129,130,13,2,SPD,"Arlt, Johannes",,Johannes,Arlt,1984,2,3,5.0,17.0,0,1,1,"31,1",0,1,arlt_johannes,1262451438103465984,2,1,arltjohannes,108655634192831,1,2
154,155,1,4,FDP,"Aschenberg-Dugnus, Christine Irene",,Christine Irene,Aschenberg-Dugnus,1959,1,3,3.0,4.0,1,1,2,'null',1,1,cad59,25980076,1,1,AschenbergDugnusMdB,1581155168671300,1,1
165,166,11,6,GRÜNE,"Audretsch, Andreas",,Andreas,Audretsch,1984,2,3,4.0,82.0,0,1,2,'null',0,1,AnAudretsch,995519538,1,1,andreas.audretsch,580255140,3,2
172,173,9,7,CSU,"Aumer, Peter",,Peter,Aumer,1976,2,2,,233.0,1,1,1,"35,3",1,1,PeterAumer,348460907,1,1,PeAumer,272174299602455,1,1
173,174,5,6,GRÜNE,"Außendorf, Maik",,Maik,Außendorf,1971,2,3,18.0,100.0,0,1,2,'null',0,1,maik_aussendorf,24253731,1,1,maussendorf,108607258028382,1,1
186,187,8,6,GRÜNE,"Bacherle, Tobias Björn",,Tobias Björn,Bacherle,1994,2,3,13.0,260.0,0,1,2,'null',0,1,TBBacherle,2835233692,1,1,TBBacherle,623394177837445,1,1
198,199,9,6,GRÜNE,"Badum, Lisa Hildegard",,Lisa Hildegard,Badum,1983,1,3,9.0,236.0,1,1,2,'null',1,1,badulrichmartha,282195399,1,1,BadumLisa,99489241160,1,1
202,203,12,6,GRÜNE,"Baerbock, Annalena Charlotte Alma",,Annalena Charlotte Alma,Baerbock,1980,1,3,1.0,61.0,1,1,2,'null',1,1,ABaerbock,2179010672,1,1,abaerbock,1675394899406675,1,1
205,206,9,2,SPD,"Bahr, Ulrike Renate Martina",,Ulrike Renate Martina,Bahr,1964,1,3,16.0,252.0,1,1,2,'null',1,1,MdB_Ulrike_Bahr,724565991104110592,2,1,mdb.ulrike.bahr,488276387901037,1,1
209,210,7,2,SPD,"Baldy, Daniel",,Daniel,Baldy,1994,2,3,5.0,205.0,0,1,1,"24,9",0,1,baldy_daniel,3305672686,2,1,baldy.spd,104478578452808,1,1
216,217,5,6,GRÜNE,"Banaszak, Felix",,Felix,Banaszak,1989,2,3,6.0,116.0,0,1,2,'null',0,1,fbanaszak,395209158,1,1,felix.banaszak,1335983894,2,1
223,224,9,7,CSU,"Bär, Dorothee Gisela Renate Maria",,Dorothee Gisela Renate Maria,Bär,1978,1,3,2.0,248.0,1,1,1,"39,1",1,1,DoroBaer,140821364,1,1,DorotheeBaerMdB,84588674291,1,1
224,225,9,6,GRÜNE,"Bär, Karl",,Karl,Bär,1985,2,3,12.0,223.0,0,1,2,'null',0,1,karlbaer,33172351,2,1,KarlBaerBundestag,308243095957112,1,1
225,226,5,2,SPD,"Baradari, Nezahat",,Nezahat,Baradari,1965,1,3,26.0,149.0,1,1,2,'null',1,1,NBaradari,2773426719,2,1,Baradari2021,572683579602491,1,2
227,228,8,1,CDU,"Bareiß, Thomas",,Thomas,Bareiß,1975,2,2,,295.0,1,1,1,"30,1",1,1,Thomas_Bareiss,2797812265,1,1,thomas.bareiss,152284468263590,1,1
251,252,6,2,SPD,"Bartol, Sören",,Sören,Bartol,1974,2,3,5.0,171.0,1,1,1,"36,9",1,1,soerenbartol,57293969,1,1,soerenbartol,1395797837300016,1,1
253,254,13,5,DIE LINKE,"Bartsch, Dr. Dietmar Gerhard",Dr.,Dietmar Gerhard,Bartsch,1958,2,3,1.0,14.0,1,1,2,'null',1,1,DietmarBartsch,2320519958,1,1,DietmarBartschMdB,135751919841485,1,1
260,261,5,2,SPD,"Bas, Bärbel",,Bärbel,Bas,1968,1,3,12.0,115.0,1,1,1,"40,3",1,1,baerbelbas,19438957,1,1,baerbel.bas,645760532106194,3,2
274,275,9,4,FDP,"Bauer, Nicole Anna Elisabeth",,Nicole Anna Elisabeth,Bauer,1987,1,3,7.0,228.0,1,1,2,'null',1,1,nicole_ae_bauer,1061873979760263168,1,1,bauer.nicole.fdp,675646769291203,1,1
282,283,8,3,AfD,"Baum, Dr. Christina",Dr.,Christina,Baum,1956,1,3,8.0,276.0,0,1,2,'null',0,1,DrChristinaBaum,955899834325700609,2,1,Dr.Christina.Baum,449770495211587,1,1
285,286,2,3,AfD,"Baumann, Dr. Bernd",Dr.,Bernd,Baumann,1958,2,3,1.0,19.0,1,1,2,'null',1,1,BerndBaumannAfD,3043727333,2,1,Dr.Bernd.Baumann,1679743389020111,1,1
308,309,11,6,GRÜNE,"Bayram, Canan",,Canan,Bayram,1966,1,2,,83.0,1,1,1,"37,8",1,1,LieblingXhain,587862375,1,1,ErststimmeBayram,169703019755684,1,1
318,319,2,6,GRÜNE,"Beck, Katharina Barbara Maria",,Katharina Barbara Maria,Beck,1982,1,3,1.0,21.0,0,1,2,'null',0,1,kathabeck,36052322,1,1,kathabeck,568356598,3,2
319,320,5,3,AfD,"Beckamp, Roger Friedrich Nikolaus",,Roger Friedrich Nikolaus,Beckamp,1975,2,3,8.0,98.0,0,1,2,'null',0,1,RogerBeckamp,4755310637,1,1,roger.beckamp,100006531946710,3,2
338,339,3,4,FDP,"Beeck, Jens",,Jens,Beeck,1969,2,3,2.0,31.0,1,1,2,'null',1,1,jensbeeck,179216369,1,1,jensbeeck.de,592280557638475,1,1
399,400,1,2,SPD,"Bergt, Bengt Axel",,Bengt Axel,Bergt,1982,2,3,9.0,8.0,0,1,1,32,0,1,BengtBergt,1319941408422318081,0,1,bengtbergt2021,102717265242302,1,1
405,406,8,3,AfD,"Bernhard, Marc Albert",,Marc Albert,Bernhard,1972,2,3,6.0,271.0,1,1,2,'null',1,1,MarcBernhardAfD,805823950253150208,1,1,MarcBernhardAfD,953370261352295,1,1
430,431,5,1,CDU,"Beyer, Peter",,Peter,Beyer,1970,2,3,28.0,105.0,1,1,1,"31,3",1,1,Peter_Beyer,445375409,2,1,peterbeyermdb,612601668757620,1,1
437,438,8,1,CDU,"Biadacz, Marc Josef",,Marc Josef,Biadacz,1979,2,2,,260.0,1,1,1,"29,7",1,1,MBiadaczMdB,935815000006053888,1,1,MBiadacz,1705704139744126,1,1
456,457,8,1,CDU,"Bilger, Steffen Rudi",,Steffen Rudi,Bilger,1979,2,3,4.0,265.0,1,1,1,"29,5",1,1,SteffenBilger,23925041,1,1,steffen.bilger.cdu,847387425402196,1,1
466,467,5,5,DIE LINKE,"Birkwald, Matthias Walter",,Matthias Walter,Birkwald,1961,2,3,2.0,94.0,1,1,2,'null',1,1,MWBirkwald,748851762,1,1,matthias.w.birkwald,2031454600399341,1,1
477,478,3,2,SPD,"Blankenburg, Jakob",,Jakob,Blankenburg,1997,2,3,15.0,37.0,0,1,1,"28,2",0,1,JakobBla,88495338,1,1,jakobblankenburg.spd,102343321860802,1,1
483,484,7,3,AfD,"Bleck, Andreas",,Andreas,Bleck,1988,2,3,3.0,197.0,1,1,2,'null',1,1,andreasbleckmdb,910878654535749632,2,1,AndreasBleckMdB,441715872855412,1,1
514,515,15,4,FDP,"Bodtke, Ingo",,Ingo,Bodtke,1965,2,3,2.0,74.0,0,1,2,'null',0,1,IngoBodtke,3418642394,2,1,ingo.bodtke,1288776822,3,2
517,518,9,3,AfD,"Boehringer, Peter Christian Pascal",,Peter Christian Pascal,Boehringer,1969,2,3,1.0,232.0,1,1,2,'null',1,1,PeterBoehringer,99268600,2,1,Peter.BoehringerCom,1534799293402291,1,1
585,586,8,4,FDP,"Brandenburg, Dr. Jens",Dr.,Jens,Brandenburg,1986,2,3,8.0,277.0,1,1,2,'null',1,1,JBrandenburgFDP,857906951707127808,1,1,JensBrandenburgFDP,364409693629796,1,1
586,587,7,4,FDP,"Brandenburg, Mario",,Mario,Brandenburg,1983,2,1,3.0,,1,1,2,'null',1,1,BraFDP,802968497831739392,2,1,Bra.FDP,171048233358845,1,1
590,591,9,7,CSU,"Brandl, Dr. Reinhard",Dr.,Reinhard,Brandl,1977,2,2,,216.0,1,1,1,"44,9",1,1,reinhardbrandl,262730721,2,1,ReinhardBrandlMdB,326547101058452,1,1
592,593,16,3,AfD,"Brandner, Stephan Günther",,Stephan Günther,Brandner,1966,2,3,1.0,194.0,1,1,1,29,1,1,StBrandner,713361366858481664,1,1,stBrandner,1550798871807977,1,1
598,599,8,6,GRÜNE,"Brantner, Dr. Franziska Katharina",Dr.,Franziska Katharina,Brantner,1979,1,3,1.0,274.0,1,1,1,"30,2",1,1,fbrantner,32323724,1,1,fbrantner,169458386402344,1,1
605,606,6,1,CDU,"Braun, Dr. Helge Reinhold",Dr.,Helge Reinhold,Braun,1972,2,3,1.0,173.0,1,1,2,'null',1,1,HBraun,19108071,1,1,helge.braun,61457331088,1,1
607,608,8,3,AfD,"Braun, Jürgen Friedrich",,Jürgen Friedrich,Braun,1961,2,3,10.0,264.0,1,1,2,'null',1,1,JuergenBraunAfD,917756296555892736,1,1,braunafd,1889496344625839,1,1
616,617,3,1,CDU,"Breher, Silvia Maria",,Silvia Maria,Breher,1973,1,3,30.0,32.0,1,1,1,49,1,1,BreherSilvia,1337056810566553607,2,1,Silvia.Breher.CDU,549488612106846,1,1
621,622,9,7,CSU,"Brehm, Sebastian",,Sebastian,Brehm,1971,2,3,15.0,244.0,1,1,1,"28,4",1,1,Brehm_inNBGNord,904304932257492992,1,1,sebastianbrehm.de,138987483307740,1,1
622,623,15,1,CDU,"Brehmer, Heike Martina",,Heike Martina,Brehmer,1962,1,3,1.0,68.0,1,1,1,"27,7",1,1,HeikeBrehmerMdB,150372237,1,1,heike.brehmer.14,1733011786,2,1
624,625,5,1,CDU,"Breilmann, Michael",,Michael,Breilmann,1983,2,3,16.0,121.0,0,1,2,'null',0,1,m_breilmann,893027627568697344,2,1,mbreilmann,637407053037068,1,1
638,639,8,2,SPD,"Breymaier, Leni",,Leni,Breymaier,1960,1,3,7.0,270.0,1,1,2,'null',1,1,LeniBreymaier,748453543632330752,1,1,BreymaierLeni,680825728745786,1,1
642,643,5,1,CDU,"Brinkhaus, Ralph",,Ralph,Brinkhaus,1968,2,3,3.0,131.0,1,1,1,40,1,1,rbrinkhaus,38001527,1,1,ralph.brinkhaus,586378098123212,1,1
676,677,8,6,GRÜNE,"Brugger, Agnes Monika",,Agnes Monika,Brugger,1985,1,3,3.0,294.0,1,1,2,'null',1,1,agnieszka_mdb,172269309,1,1,agnieszkamdb,169881576447003,1,1
690,691,3,6,GRÜNE,"Bsirske, Frank",,Frank,Bsirske,1952,2,3,6.0,51.0,0,1,2,'null',0,1,FBsirske,1419751204465356805,0,1,Fbsirske,101253805382184,1,1
691,692,9,4,FDP,"Bubendorfer-Licht, Sandra",,Sandra,Bubendorfer-Licht,1969,1,3,9.0,212.0,1,1,2,'null',1,1,Bubendorferfdp,887343634647003136,1,1,bubendorferlicht,427823900665329,1,1
708,709,16,3,AfD,"Bühl, Marcus",,Marcus,Bühl,1977,2,3,5.0,192.0,1,1,1,"26,5",1,1,Marcus_Buehl,729360191263780867,1,1,marcus.buehl.afd,1843056589285625,1,2
736,737,8,1,CDU,"Bury, Yannick",,Yannick,Bury,1990,2,2,,283.0,0,1,1,"27,8",0,1,YannickBury,33738797,2,1,yannick.bury.cdu,451241478944949,1,1
741,742,5,4,FDP,"Buschmann, Dr. Marco",Dr.,Marco,Buschmann,1977,2,3,4.0,123.0,1,1,2,'null',1,1,MarcoBuschmann,106136813,1,1,MarcoBuschmannFDP,1375993365821383,1,1
744,745,5,4,FDP,"Busen, Karlheinz",,Karlheinz,Busen,1951,2,3,11.0,126.0,1,1,2,'null',1,1,busen_mdb,935554963639558145,1,1,KarlheinzBusen,1609868125920282,1,1
752,753,9,3,AfD,"Bystron, Petr",,Petr,Bystron,1972,2,3,4.0,217.0,1,1,2,'null',1,1,PetrBystronAfD,810957560723505152,2,1,bystronpetr,100044368991651,1,2
753,754,8,2,SPD,"Cademartori Dujisin, Isabel Andrea",,Isabel Andrea,Cademartori Dujisin,1988,1,3,17.0,275.0,0,1,1,"26,4",0,1,isacademartori,204259229,1,1,isacademartori,1222883021,3,2
767,768,8,2,SPD,"Castellucci, Dr. Lars",Dr.,Lars,Castellucci,1974,2,3,10.0,277.0,1,1,2,'null',1,1,larscastellucci,17469649,1,1,larscastellucci,295376017278501,1,1
785,786,8,6,GRÜNE,"Christmann, Dr. Anna Maria",Dr.,Anna Maria,Christmann,1983,1,3,8.0,259.0,1,1,2,'null',1,1,annachristmann,1617177360,1,1,AnnaChristmannBT,1167625756623830,1,1
787,788,14,3,AfD,"Chrupalla, Tino",,Tino,Chrupalla,1975,2,3,1.0,157.0,1,1,1,"35,8",1,1,Tino_Chrupalla,797137333820784640,1,1,TinoAfD,1592161514425449,1,1
809,810,3,1,CDU,"Connemann, Gitta",,Gitta,Connemann,1964,1,3,3.0,25.0,1,1,1,"44,4",1,1,gitta_connemann,1125751445205262336,1,1,GittaConnemann,175211392516482,1,1
814,815,5,2,SPD,"Coße, Jürgen",,Jürgen,Coße,1969,2,3,29.0,128.0,0,1,2,'null',0,1,juergencosse,161395160,1,1,SPD.Juergen.Cosse,144032345752517,1,1
816,817,6,3,AfD,"Cotar, Joana Eleonora",,Joana Eleonora,Cotar,1973,1,3,2.0,183.0,1,1,2,'null',1,1,JoanaCotar,814970546366611457,1,1,afd.joanacotar,242641809484926,1,1
823,824,5,4,FDP,"Cronenberg, Carl-Julius",,Carl-Julius,Cronenberg,1962,2,3,14.0,147.0,1,1,2,'null',1,1,cjcronenberg,1325126973631455232,1,1,CarloCronenberg,1598008726876796,1,1
824,825,11,3,AfD,"Curio, Dr. Gottfried",Dr.,Gottfried,Curio,1960,2,1,2.0,,1,1,2,'null',1,1,GottfriedCurio,848618993015500802,1,1,GottfriedCurio.AfD,265344823886953,1,1
828,829,11,1,CDU,"Czaja, Mario",,Mario,Czaja,1975,2,2,,85.0,0,1,1,"29,4",0,1,MarioCzaja,115666099,1,1,czaja.mario,341164211104,1,1
836,837,5,5,DIE LINKE,"Dagdelen, Sevim",,Sevim,Dagdelen,1975,1,3,3.0,140.0,1,1,2,'null',1,1,SevimDagdelen,139407967,1,1,MdBSevimDagdelen,1753343008226103,1,1
839,840,5,6,GRÜNE,"Dahmen, Dr. Janosch",Dr.,Janosch,Dahmen,1981,2,3,24.0,138.0,1,1,2,'null',1,1,janoschdahmen,16697497,1,1,janoschdahmen,1007318640,2,1
842,843,5,2,SPD,"Daldrup, Bernhard",,Bernhard,Daldrup,1956,2,3,9.0,130.0,1,1,2,'null',1,1,BernhardDaldrup,1329019163126476800,2,1,bernharddaldrup,392079271343256,1,1
863,864,2,1,CDU,"de Vries, Christoph Bernhard",,Christoph Bernhard,de Vries,1974,2,3,3.0,18.0,1,1,2,'null',1,1,VriesChristoph,1193925069476696064,2,1,christoph.devries,101094999966880,1,1
870,871,9,6,GRÜNE,"Deligöz, Ekin",,Ekin,Deligöz,1971,1,3,3.0,255.0,1,1,2,'null',1,1,ekindeligoez,22125770,1,1,deligoez.ekin,108268569247213,1,1
873,874,11,2,SPD,"Demir, Hakan",,Hakan,Demir,1984,2,2,,82.0,0,1,1,26,0,1,HakanDemirNK,2942564267,1,1,HakanDemirNK,103704231482560,1,1
887,888,8,6,GRÜNE,"Detzer, Dr. Sandra",Dr.,Sandra,Detzer,1980,1,3,5.0,265.0,0,1,2,'null',0,1,detzer_sandra,797777115689132032,2,1,sandra.detzer.5,757653864,3,2
892,893,15,2,SPD,"Diaby, Dr. Karamba",Dr.,Karamba,Diaby,1961,2,3,1.0,72.0,1,1,1,"28,8",1,1,KarambaDiaby,316355056,1,1,DrKarambaDiaby,330061277100619,1,1
902,903,7,2,SPD,"Diedenhofen, Martin",,Martin,Diedenhofen,1995,2,3,7.0,197.0,0,1,2,'null',0,1,MDiedenhofen,785136227775344640,1,1,MDiedenhofen,1057779890981986,1,1
905,906,5,2,SPD,"Dieren, Jan Ulrich",,Jan Ulrich,Dieren,1991,2,3,49.0,114.0,0,1,1,"35,2",0,1,JanUlrichDieren,1321043479229878272,2,1,jan.dieren.5,100002530281774,3,2
913,914,14,3,AfD,"Dietz, Thomas",,Thomas,Dietz,1967,2,3,13.0,164.0,0,1,1,"31,7",0,1,tommylukoil,1117821932,2,1,thomaseckhard.dietz.1,100039439574133,3,2
916,917,6,2,SPD,"Dilcher, Esther",,Esther,Dilcher,1965,1,3,8.0,167.0,1,1,1,"37,9",1,1,EstherDilcher,939092636165689345,2,1,esther.dilcher,153140561875617,1,1
928,929,9,2,SPD,"Dittmar, Sabine",,Sabine,Dittmar,1964,1,3,14.0,248.0,1,1,2,'null',1,1,dittmarsabine,1872648764,2,1,SabineDittmarMdB,138187167349,1,1
931,932,5,4,FDP,"Djir-Sarai, Bijan",,Bijan,Djir-Sarai,1976,2,3,6.0,108.0,1,1,2,'null',1,1,DjirSarai,960463104537657344,1,1,djirsarai,791450961024980,1,1
948,949,12,5,DIE LINKE,"Domscheit-Berg, Anke Margarete",,Anke Margarete,Domscheit-Berg,1968,1,3,2.0,58.0,1,1,2,'null',1,1,anked,16557497,1,1,AnkeDomscheitBerg,394450414220955,1,1
1000,1001,5,6,GRÜNE,"Dröge, Katharina",,Katharina,Dröge,1984,1,3,5.0,95.0,1,1,2,'null',1,1,katdro,15722010,1,1,KatharinaDroegeMdB,1895940400636093,1,1
1017,1018,6,6,GRÜNE,"Düring, Deborah Saskia",,Deborah Saskia,Düring,1994,1,3,7.0,182.0,0,1,2,'null',0,1,DeborahDuering,1249088270128029696,2,1,DeborahDuering,322235575150754,1,2
1019,1020,3,4,FDP,"Dürr, Christian",,Christian,Dürr,1977,2,3,1.0,28.0,1,1,2,'null',1,1,christianduerr,17535941,1,1,duerr.christian,1797023703896597,1,1
1020,1021,9,7,CSU,"Durz, Hansjörg",,Hansjörg,Durz,1971,2,2,,253.0,1,1,1,"40,6",1,1,Hansjoerg_Durz,1662533040,1,1,Hansjoerg.Durz,608651842489093,1,1
1035,1036,8,6,GRÜNE,"Ebner, Harald",,Harald,Ebner,1964,2,3,7.0,268.0,1,1,2,'null',1,1,ebner_sha,52431948,1,1,HaraldEbnerMdB,95123288681,1,1
1042,1043,9,6,GRÜNE,"Eckert, Leon",,Leon,Eckert,1995,2,3,18.0,214.0,0,1,2,'null',0,1,Leckert_,714742039,1,1,leon.leckert,100001135175464,3,2
1046,1047,9,7,CSU,"Edelhäußer, Ralph",,Ralph,Edelhäußer,1973,2,2,,246.0,0,1,1,38,0,1,edelhaeusser,152339060,2,1,ralph.edelhaeusser,100000721452321,3,2
1066,1067,3,3,AfD,"Ehrhorn, Thomas Ludwig Walter",,Thomas Ludwig Walter,Ehrhorn,1959,2,3,3.0,44.0,1,1,2,'null',1,1,Thomas_Ehrhorn,3242322815,2,1,Thomas-Ehrhorn-AfD-945204268844750,945204268844750,1,2
1075,1076,12,2,SPD,"Eichwede, Sonja Katharina",,Sonja Katharina,Eichwede,1987,1,3,6.0,60.0,0,1,1,"32,1",0,1,sonjaeichwede,2532432664,2,1,eichwede,118585603105337,1,1
1109,1110,8,6,GRÜNE,"Emmerich, Marcel",,Marcel,Emmerich,1991,2,3,11.0,291.0,1,1,2,'null',1,1,herr_emmerich,16695267,1,1,herremmerich,1293721882,3,2
1130,1131,9,7,CSU,"Englhardt-Kopf, Martina",,Martina,Englhardt-Kopf,1981,1,3,12.0,234.0,0,1,1,"35,1",0,1,EnglhardtKopf,1335676869061062662,2,1,englhardtkopf,100143048926878,1,1
1148,1149,9,7,CSU,"Erndl, Thomas Maximilian",,Thomas Maximilian,Erndl,1974,2,2,,227.0,1,1,1,"37,4",1,1,TErndl,2192588903,1,1,Thomas.Erndl.Bayern,278699465908771,1,1
1149,1150,9,5,DIE LINKE,"Ernst, Klaus Friedrich",,Klaus Friedrich,Ernst,1954,2,3,2.0,250.0,1,1,2,'null',1,1,ernst_klaus,64994645,1,1,mdb.klaus.ernst,86704161022,1,1
1156,1157,5,2,SPD,"Esdar, Dr. Wiebke",Dr.,Wiebke,Esdar,1984,1,3,16.0,132.0,1,1,1,30,1,1,wiebkeesdar1,1042109887604563968,2,1,WiebkeEsdar2017,1433558319994719,1,1
1158,1159,8,2,SPD,"Esken, Saskia Christina",,Saskia Christina,Esken,1961,1,3,1.0,280.0,1,1,2,'null',1,1,EskenSaskia,1423622834,1,1,EskenSaskia,410100252391597,1,1
1161,1162,5,3,AfD,"Espendiller, Dr. Michael",Dr.,Michael,Espendiller,1989,2,3,6.0,126.0,1,1,2,'null',1,1,DrMEspendiller,885167849685340161,2,1,EspendillerM,798071870367436,1,1
1179,1180,15,4,FDP,"Faber, Dr. Marcus",Dr.,Marcus,Faber,1984,2,3,1.0,66.0,1,1,2,'null',1,1,MarcusFaber,22364234,1,1,marcusfabermdb,105315240990459,1,1
1183,1184,3,2,SPD,"Fahimi, Yasmin",,Yasmin,Fahimi,1967,1,3,8.0,42.0,1,1,1,"32,9",1,1,FahimiYasmin,1038034431385247745,1,1,yasmin.fahimi,1386598984894087,1,1
1191,1192,15,3,AfD,"Farle, Robert",,Robert,Farle,1950,2,2,,74.0,0,1,1,"25,1",0,1,robert_farle,2958611710,2,1,RobertFarle22,1565754943752371,1,1
1193,1194,12,2,SPD,"Fäscher, Ariane",,Ariane,Fäscher,1968,1,3,10.0,58.0,0,1,1,"26,3",0,1,ArianeFaescher,1371580189000486919,2,1,arianefaescher,177932197259751,1,2
1199,1200,8,2,SPD,"Fechner, Dr. Johannes",Dr.,Johannes,Fechner,1972,2,3,6.0,283.0,1,1,2,'null',1,1,FechnerJohannes,1105754727101485058,2,1,johannesfechner.spd,555842074449519,1,1
1205,1206,12,1,CDU,"Feiler, Uwe Wolfgang Werner",,Uwe Wolfgang Werner,Feiler,1965,2,3,2.0,58.0,1,1,2,'null',1,1,UweFe,47151012,2,1,uwe.feiler,108826898029,1,1
1216,1217,9,3,AfD,"Felser, Peter",,Peter,Felser,1969,2,1,11.0,,1,1,2,'null',1,1,PeterFelser,3384789731,2,1,peterfelserafd,225499161202327,1,2
1223,1224,9,5,DIE LINKE,"Ferschl, Susanne",,Susanne,Ferschl,1973,1,3,3.0,257.0,1,1,2,'null',1,1,SusanneFerschl,1096063189249331201,2,1,FerschlSusanne,1757842324535579,1,1
1224,1225,2,6,GRÜNE,"Fester, Emilia Johanna",,Emilia Johanna,Fester,1998,1,1,3.0,,0,1,2,'null',0,1,emiliafester,956609533312462850,2,1,emilia.fester,100002735191735,3,2
1232,1233,5,2,SPD,"Fiedler, Sebastian",,Sebastian,Fiedler,1973,2,3,62.0,118.0,0,1,1,"36,3",0,1,fiedelseb,417280296,2,1,sebastian.fiedler.9400,100063564962479,3,2
1295,1296,9,4,FDP,"Föst, Daniel Wolfgang",,Daniel Wolfgang,Föst,1976,2,3,1.0,217.0,1,1,2,'null',1,1,DFoest,422569574,1,1,daniel.foest.Bundestag,1026865247418194,1,1
