,ID,LAND_NR,Partei_NR,Partei_ABK,Name,Titel,Vorname,Nachname,Jahrgang,Geschlecht,Kandidatur,LP,WKR_NR,BereitsMdB,MdB_2021,Einzug,Prozent,erneut,TW_acc,TW_user,TW_id,TW_verif,FB_acc,FB_user,FB_id,FB_typ,FB_verif
1306,1307,6,2,SPD,"Franke, Dr. Edgar Konrad Hartmut",Dr.,Edgar Konrad Hartmut,Franke,1960,2,3,11.0,170.0,1,1,1,"39,3",1,1,FrankeEdgar,481393623,1,1,FrankeEdgar,106694729500758,1,1
1319,1320,8,1,CDU,"Frei, Thorsten",,Thorsten,Frei,1973,2,2,,286.0,1,1,1,"36,4",1,1,thorsten_frei,1181598578508214272,2,1,ThorstenFreiCDU,175778159240756,1,1
1323,1324,8,1,CDU,"Freiherr von Stetten, Christian Alexander",,Christian Alexander,Freiherr von Stetten,1970,2,2,,268.0,1,1,1,"32,1",1,1,CvStetten,1334019378,2,1,christian.vonstetten,100000624395273,3,2
1335,1336,5,4,FDP,"Fricke, Otto",,Otto,Fricke,1965,2,3,7.0,110.0,1,1,2,'null',1,1,Otto_Fricke,18044683,1,1,ottofrickefdp,164713303726525,1,1
1351,1352,9,7,CSU,"Frieser, Michael",,Michael,Frieser,1964,2,3,13.0,245.0,1,1,1,"34,4",1,1,MichaelFrieser,4577700622,1,1,michael.frieser.csu,1636686689918879,1,1
1371,1372,8,3,AfD,"Frohnmaier, Markus-Cornel",,Markus-Cornel,Frohnmaier,1991,2,3,4.0,260.0,1,1,2,'null',1,1,Frohnmaier_AfD,4130621842,2,1,frohnmaier,1409631672620315,1,1
1373,1374,11,3,AfD,"Frömming, Dr. Götz",Dr.,Götz,Frömming,1968,2,3,3.0,76.0,1,1,2,'null',1,1,GtzFrmming,809895794,1,1,goetzfroemming,1163768790326569,1,1
1390,1391,9,4,FDP,"Funke genannt Kaiser, Maximilian Ludwig",,Maximilian Ludwig,Funke genannt Kaiser,1993,2,1,11.0,,0,1,2,'null',0,1,max_fksr,2237664229,1,1,funkekaiser,575715812512357,1,1
1391,1392,14,2,SPD,"Funke, Fabian",,Fabian,Funke,1997,2,3,7.0,158.0,0,1,2,'null',0,1,funke_fabian,941607536968519680,1,1,fabianfunke.spd,109612901279011,1,1
1408,1409,1,1,CDU,"Gädechens, Ingo Adolf August",,Ingo Adolf August,Gädechens,1960,2,3,3.0,9.0,1,1,2,'null',1,1,gadechens,1157298670745899014,2,1,ingo.gaedechens,100000872166212,3,2
1416,1417,5,6,GRÜNE,"Gambir, Schahina",,Schahina,Gambir,1991,1,3,19.0,134.0,0,1,2,'null',0,1,schahinag,1284802020382310400,1,1,scha.hina,100000447875328,3,2
1419,1420,9,6,GRÜNE,"Ganserer, Markus (Tessa)",,Markus (Tessa),Ganserer,1977,1,3,13.0,244.0,0,1,2,'null',0,1,GansGruen,41365109,1,1,Tessa Ganserer,2056406514397698,1,1
1433,1434,8,6,GRÜNE,"Gastel, Matthias",,Matthias,Gastel,1970,2,3,9.0,262.0,1,1,2,'null',1,1,MatthiasGastel,727782559,1,1,MatthiasGastelMdB,280699312717472,1,2
1446,1447,7,1,CDU,"Gebhart, Dr. Thomas",Dr.,Thomas,Gebhart,1971,2,3,3.0,211.0,1,1,2,'null',1,1,thomasgebhart,51483238,1,1,gebhart.th,399610793419033,1,1
1451,1452,5,6,GRÜNE,"Gehring, Kai",,Kai,Gehring,1977,2,3,16.0,120.0,1,1,2,'null',1,1,KaiGehring,110368456,1,1,kai.gehring,93711056469,1,1
1463,1464,9,7,CSU,"Geissler, Dr. Jonas Alexander Tecumseh",Dr.,Jonas Alexander Tecumseh,Geissler,1984,2,2,,238.0,0,1,1,"36,5",0,1,GeisslerJonas,3375074608,2,1,JonasGeissler1984,107599588210185,1,1
1466,1467,11,6,GRÜNE,"Gelbhaar, Stefan",,Stefan,Gelbhaar,1976,2,3,2.0,76.0,1,1,1,"25,5",1,1,StefanGelbhaar,426582569,1,1,Gelbhaar,129289704426208,1,1
1475,1476,5,2,SPD,"Gerdes, Michael",,Michael,Gerdes,1960,2,3,41.0,125.0,1,1,1,39,1,1,GerdesMdB,2468956470,2,1,michaelgerdesmdb,1745682372370310,1,1
1499,1500,5,6,GRÜNE,"Gesenhues, Dr. Jan-Niclas",Dr.,Jan-Niclas,Gesenhues,1990,2,3,8.0,128.0,0,1,2,'null',0,1,JN_Gesenhues,370585284,1,1,JanniGesenhues,1998777053683118,1,1
1536,1537,7,2,SPD,"Glöckner, Angelika",,Angelika,Glöckner,1962,1,3,8.0,210.0,1,1,1,"30,4",1,1,A_Gloeckner,976421048,1,1,gloeckner.wpf,339735429489657,1,1
1542,1543,12,3,AfD,"Gnauck, Hannes",,Hannes,Gnauck,1991,2,3,5.0,57.0,0,1,2,'null',0,1,Hannes_Gnauck,1325859656015679493,2,1,Hannes-Gnauck-AfD-559704501209297,559704501209297,1,2
1553,1554,9,5,DIE LINKE,"Gohlke, Nicole Stephanie",,Nicole Stephanie,Gohlke,1975,1,3,1.0,220.0,1,1,2,'null',1,1,NicoleGohlke,866425075,1,1,NicoleGohlkeMdB,560137777526640,1,1
1578,1579,16,6,GRÜNE,"Göring-Eckardt, Katrin",,Katrin,Göring-Eckardt,1966,1,3,1.0,193.0,1,1,2,'null',1,1,GoeringEckardt,626287930,1,1,GoeringEckardt,60074915591,1,1
1579,1580,12,5,DIE LINKE,"Görke, Christian",,Christian,Görke,1962,2,3,1.0,64.0,0,1,2,'null',0,1,goerke_c,1411676203224870912,1,1,ChristianGoerkeLINKE,202117839972828,1,1
1594,1595,5,3,AfD,"Gottschalk, Kay",,Kay,Gottschalk,1965,2,3,2.0,111.0,1,1,2,'null',1,1,KayGottschalk1,1286011081,1,1,KayGottschalkAfD,578990648975282,1,1
1604,1605,5,4,FDP,"Graf Lambsdorff, Alexander",,Alexander,Graf Lambsdorff,1966,2,3,3.0,96.0,1,1,2,'null',1,1,Lambsdorff,149299258,1,1,Alexander.Lambsdorff,519398914740380,1,1
1612,1613,8,1,CDU,"Gramling, Fabian Benedikt Meinrad",,Fabian Benedikt Meinrad,Gramling,1987,2,2,,266.0,0,1,1,"30,4",0,1,FabianGramling,738358276560150532,1,1,f.gramling,1038130056206822,1,1
1620,1621,8,1,CDU,"Gräßle, Dr. Ingeborg Gabriele",Dr.,Ingeborg Gabriele,Gräßle,1961,1,3,5.0,269.0,0,1,1,"30,5",0,1,inge_graessle,429065822,1,1,100055447729344,100055447729344,3,2
1631,1632,6,2,SPD,"Gremmels, Timon",,Timon,Gremmels,1976,2,3,25.0,168.0,1,1,1,"36,1",1,1,Timon_Gremmels,494809842,1,1,TimonGremmels,621438468048970,1,1
1643,1644,5,2,SPD,"Griese, Kerstin",,Kerstin,Griese,1966,1,3,4.0,105.0,1,1,2,'null',1,1,KerstinGriese,39709752,1,1,KerstinGrieseMdB,267441470338062,1,1
1654,1655,5,1,CDU,"Gröhe, Gottfried Hermann",,Gottfried Hermann,Gröhe,1961,2,3,14.0,108.0,1,1,1,"35,8",1,1,groehe,94363834,1,1,groehe,84534791408,1,1
1668,1669,3,1,CDU,"Grosse-Brömer, Michael",,Michael,Grosse-Brömer,1960,2,3,2.0,36.0,1,1,2,'null',1,1,MGrosseBroemer,574424501,1,1,MGrosseBroemer,121948104610196,1,1
1675,1676,9,2,SPD,"Grötsch, Ulrich Peter",,Ulrich Peter,Grötsch,1975,2,3,1.0,235.0,1,1,2,'null',1,1,UliGroetsch,867351565757239296,1,1,uli.groetsch,199480603522909,1,1
1678,1679,8,1,CDU,"Grübel, Markus",,Markus,Grübel,1959,2,2,,261.0,1,1,1,32,1,1,GruebelMdb,796691290016583680,1,1,MarkusGruebelMdB,127441196853,1,1
1686,1687,9,6,GRÜNE,"Grundl, Erhard",,Erhard,Grundl,1963,2,3,8.0,231.0,1,1,2,'null',1,1,Erhard_Grundl,951773879822880768,1,1,grundl.erhard,179806689429725,1,2
1698,1699,5,6,GRÜNE,"Grützmacher, Sabine",,Sabine,Grützmacher,1986,1,3,25.0,99.0,0,1,2,'null',0,1,S_Gruetzmacher,1221559096463306752,1,1,SabineGruetzmacher.obk,100003656798732,2,1
1708,1709,5,1,CDU,"Güler, Serap",,Serap,Güler,1980,1,3,8.0,101.0,0,1,2,'null',0,1,SerapGueler,2645960542,1,1,serapgueler,108210364883453,1,2
1723,1724,3,1,CDU,"Güntzler, Fritz",,Fritz,Güntzler,1966,2,3,10.0,53.0,1,1,2,'null',1,1,FGuentzler,779601750789656576,2,1,fguentzler,100057724254641,1,1
1724,1725,9,5,DIE LINKE,"Gürpinar, Ates Nils",,Ates Nils,Gürpinar,1984,2,3,4.0,222.0,0,1,2,'null',0,1,AtesGuerpinar,833040538370719746,1,1,ates.guerpinar,1830151243695018,1,1
1731,1732,8,1,CDU,"Gutting, Olav Steffen",,Olav Steffen,Gutting,1970,2,2,,278.0,1,1,1,"29,6",1,1,olavgutting,58429842,1,1,olavguttting,104216535272606,1,2
1736,1737,11,5,DIE LINKE,"Gysi, Gregor",,Gregor,Gysi,1948,2,2,,84.0,1,1,1,"35,4",1,1,GregorGysi,888289790,1,1,gregor.gysi,42497482692,1,1
1742,1743,5,1,CDU,"Haase, Christian",,Christian,Haase,1966,2,2,,136.0,1,1,1,"40,1",1,1,ChristianHaase6,1601699642,2,1,haasechristian.de,620464327970113,1,1
1756,1757,9,4,FDP,"Hacker, Thomas",,Thomas,Hacker,1967,2,3,13.0,237.0,1,1,2,'null',1,1,hacker_fdp,89209507,1,1,FDP.Hacker,135179350225,1,1
1766,1767,9,2,SPD,"Hagl-Kehl, Rita Andrea",,Rita Andrea,Hagl-Kehl,1970,1,3,6.0,227.0,1,1,2,'null',1,1,RitaHaglKehl,836553428042141697,1,1,Rita.Hagl.Kehl,932815056748552,1,1
1768,1769,9,7,CSU,"Hahn, Florian Peter",,Florian Peter,Hahn,1974,2,3,7.0,221.0,1,1,1,"39,1",1,1,hahnflo,403735368,1,1,florian.hahn.3766,291644800982357,1,1
1780,1781,2,2,SPD,"Hakverdi, Metin",,Metin,Hakverdi,1969,2,3,6.0,23.0,1,1,1,"39,3",1,1,MetinHakverdi,1043288618,2,1,MdB.Metin.Hakverdi,178872845468327,1,1
1823,1824,6,3,AfD,"Harder-Kühnel, Mariana Iris",,Mariana Iris,Harder-Kühnel,1974,1,3,1.0,175.0,1,1,2,'null',1,1,M_HarderKuehnel,815699423057637381,1,1,M.Harder.Kuehnel,319006178685355,1,1
1824,1825,5,1,CDU,"Hardt, Jürgen",,Jürgen,Hardt,1963,2,3,22.0,103.0,1,1,2,'null',1,1,juergenhardt,38467606,1,1,JuergenHardt,90203217294,1,1
1839,1840,14,4,FDP,"Hartewig, Philipp",,Philipp,Hartewig,1994,2,3,3.0,161.0,0,1,2,'null',0,1,philipphartewig,817772024697389059,1,1,philipphartewig,720838084733674,1,1
1857,1858,5,2,SPD,"Hartmann, Sebastian",,Sebastian,Hartmann,1977,2,3,3.0,97.0,1,1,2,'null',1,1,sebast_hartmann,1076269195,1,1,SebastianHartmannSPD,337368156374937,1,1
1868,1869,14,4,FDP,"Harzer, Ulrike",,Ulrike,Harzer,1968,1,3,4.0,164.0,0,1,2,'null',0,1,HarzerUlrike,1238937177003888646,2,1,UlrikeHarzerFDP,173134550946018,1,2
1872,1873,5,6,GRÜNE,"Haßelmann, Britta Maria",,Britta Maria,Haßelmann,1961,1,3,1.0,132.0,1,1,2,'null',1,1,BriHasselmann,1131092102,1,1,britta.hasselmann,230695653794643,1,1
1876,1877,5,1,CDU,"Hauer, Matthias",,Matthias,Hauer,1977,2,3,11.0,120.0,1,1,1,"30,7",1,1,MatthiasHauer,1158585210,1,1,matthiashauer.cdu,126360456507,1,1
1877,1878,5,3,AfD,"Haug, Jochen",,Jochen,Haug,1973,2,3,11.0,95.0,1,1,2,'null',1,1,Jochen_Haug,717077328669646849,1,1,JochenHaugAfD,110377990871598,1,2
1900,1901,6,1,CDU,"Heck, Dr. Stefan",Dr.,Stefan,Heck,1982,2,3,7.0,171.0,0,1,2,'null',0,1,StHeck,2976064481,2,1,Dr.Stefan.Heck,1442170879331980,1,1
1908,1909,5,2,SPD,"Heidenblut, Dirk",,Dirk,Heidenblut,1961,2,3,65.0,119.0,1,1,1,"37,8",1,1,DHeidenblut,1083371289786634240,1,1,DirkHeidenblutMdB,430759423677288,1,1
1914,1915,6,4,FDP,"Heidt, Peter",,Peter,Heidt,1965,2,3,7.0,177.0,1,1,2,'null',1,1,PeterHeidtFDP,1858621434,2,1,peter.heidt.75,100000534777773,3,2
1922,1923,7,1,CDU,"Heil, Mechthild",,Mechthild,Heil,1961,1,3,5.0,198.0,1,1,1,"34,3",1,1,MechthildHeil,974367631,1,1,MechthildHeil,216347025147950,1,1
1923,1924,3,2,SPD,"Heil, Wolfgang-Hubertus",,Wolfgang-Hubertus,Heil,1972,2,3,1.0,45.0,1,1,1,"43,7",1,1,hubertus_heil,15943222,1,1,mdb.hubertusheil,63215533503,1,1
1924,1925,3,2,SPD,"Heiligenstadt, Frauke",,Frauke,Heiligenstadt,1966,1,3,10.0,52.0,0,1,1,"36,7",0,1,FHeiligenstadt,20715527,1,1,FraukeHeiligenstadtSPD,115232612517030,1,1
1925,1926,11,1,CDU,"Heilmann, Thomas",,Thomas,Heilmann,1964,2,3,4.0,79.0,1,1,1,28,1,1,ThomasHeilmann,56806603,1,1,thomasheilmannoffiziell,1014057301965054,1,1
1941,1942,9,2,SPD,"Heinrich, Gabriela",,Gabriela,Heinrich,1963,1,3,8.0,244.0,1,1,2,'null',0,1,GaHeinrich,296121556,2,1,heinrichgabriela,133430763472093,1,1
1954,1955,2,6,GRÜNE,"Heitmann, Linda",,Linda,Heitmann,1982,1,3,5.0,19.0,0,1,1,"29,6",0,1,linda_lobster,796076739642490880,1,1,linda.heitmann1,609236181,3,2
1957,1958,5,3,AfD,"Helferich, Matthias",,Matthias,Helferich,1988,2,3,7.0,143.0,0,1,2,'null',0,1,Helferich_AfD,872422743597346825,2,1,helferich.afd,1385543268201303,1,1
1966,1967,5,4,FDP,"Helling-Plahr, Katrin",,Katrin,Helling-Plahr,1986,1,3,15.0,138.0,1,1,2,'null',1,1,KatrinHelling,21267421,1,1,KatrinHellingPlahr,101422408233,1,1
1968,1969,5,2,SPD,"Hellmich, Wolfgang",,Wolfgang,Hellmich,1958,2,3,21.0,146.0,1,1,2,'null',1,1,HellmichMdB,786498202832822272,1,1,WolfgangHellmichSPD,226774424126627,1,1
1988,1989,5,6,GRÜNE,"Henneberger, Kathrin",,Kathrin,Henneberger,1987,1,3,20.0,109.0,0,1,2,'null',0,1,KathrinAnna,17152502,2,1,KathrinAnnaHenneberger,111749587397683,1,1
1989,1990,3,2,SPD,"Hennig, Anke",,Anke,Hennig,1964,1,3,18.0,38.0,0,1,2,'null',0,1,AnkeHennigSPD,1283381888372047872,2,1,anke.hennig64,100000075707248,3,2
1992,1993,16,5,DIE LINKE,"Hennig-Wellsow, Susanne Marianne",,Susanne Marianne,Hennig-Wellsow,1977,1,3,1.0,193.0,0,1,2,'null',0,1,SusanneHennig,60619687,1,1,susanne.hennig,1451041061,3,2
1995,1996,8,1,CDU,"Hennrich, Michael",,Michael,Hennrich,1965,2,2,,262.0,1,1,1,"30,1",1,1,MichaelHennric2,1132260527378489345,2,1,HennrichMdB,1210174475726685,1,1
1996,1997,5,1,CDU,"Henrichmann, Marc",,Marc,Henrichmann,1976,2,2,,127.0,1,1,1,"40,9",1,1,MarcHenrichmann,44608858,1,1,m.henrichmann,194705457238325,1,1
2011,2012,5,4,FDP,"Herbrand, Markus",,Markus,Herbrand,1971,2,3,12.0,92.0,1,1,2,'null',1,1,HerbrandMarkus,997138767763750912,1,1,HerbrandMdB,635651679840567,1,1
2014,2015,14,4,FDP,"Herbst, Torsten",,Torsten,Herbst,1973,2,3,1.0,159.0,1,1,2,'null',1,1,torstenherbst,17561226,1,1,torsten.herbst,42099597765,1,1
2028,2029,14,6,GRÜNE,"Herrmann, Bernhard",,Bernhard,Herrmann,1966,2,3,2.0,163.0,0,1,2,'null',0,1,BHerrmann_,1372871859025408002,2,1,Bernhard.Herrmann.BTW21,103816481985629,1,2
2041,2042,5,2,SPD,"Heselhaus, Nadine",,Nadine,Heselhaus,1978,1,3,10.0,126.0,0,1,2,'null',0,1,NHeselhaus,1335619744909627394,2,1,nadine.heselhaus,635670110164497,1,1
2045,2046,8,3,AfD,"Hess, Martin Alexander",,Martin Alexander,Hess,1971,2,3,2.0,265.0,1,1,2,'null',1,1,Martin_Hess_AfD,872663038805016576,1,1,Martin.Hess.AfD,1299558906757745,1,2
2049,2050,9,4,FDP,"Hessel, Katja",,Katja,Hessel,1972,1,3,2.0,244.0,1,1,2,'null',1,1,fdp_hessel,107806591,1,1,HesselKatja,589834311205649,1,1
2063,2064,9,7,CSU,"Hierl, Susanne",,Susanne,Hierl,1973,1,3,20.0,232.0,0,1,1,"40,3",0,1,HierlSusanne,1352742562260529154,2,1,susanne.hierl.9,100000511699323,3,2
2077,2078,14,3,AfD,"Hilse, Karsten",,Karsten,Hilse,1964,2,3,4.0,156.0,1,1,1,"33,4",1,1,HilseMdb,920932259347214338,2,1,Karsten.Hilse.Politiker,358099231236311,1,1
2091,2092,16,1,CDU,"Hirte, Christian",,Christian,Hirte,1976,2,3,1.0,190.0,1,1,2,'null',1,1,ChristianHirte,37642893,1,1,ChristianHirteMdB,542605582431001,1,1
2094,2095,7,2,SPD,"Hitschler, Thomas",,Thomas,Hitschler,1982,2,3,1.0,211.0,1,1,1,"28,2",1,1,ThomasHitschler,292151515,1,1,thomashitschler,228669933928090,1,1
2100,2101,7,3,AfD,"Höchst, Nicole",,Nicole,Höchst,1970,1,3,2.0,201.0,1,1,2,'null',1,1,Nicole_Hoechst,3105025175,2,1,Nicole-H%C3%B6chst-200054723727357,200054723727357,1,1
2105,2106,3,4,FDP,"Hocker, Dr. Gero Clemens",Dr.,Gero Clemens,Hocker,1975,2,3,6.0,34.0,1,1,2,'null',1,1,GeroHocker,966707365893558273,2,1,hockergero,994288540670647,1,1
2112,2113,7,4,FDP,"Höferlin, Manuel",,Manuel,Höferlin,1973,2,3,5.0,206.0,1,1,2,'null',1,1,ManuelHoeferlin,17483463,1,1,Hoeferlin,186627140975,1,1
2115,2116,9,7,CSU,"Hoffmann, Alexander",,Alexander,Hoffmann,1975,2,2,,249.0,1,1,1,"38,6",1,1,Hoffmann_MdB,1193816843519172608,2,1,alexander.hoffmann.3386,100000663416537,3,2
2118,2119,6,6,GRÜNE,"Hoffmann, Dr. Bettina Martha Lieselotte",Dr.,Bettina Martha Lieselotte,Hoffmann,1960,1,3,1.0,170.0,1,1,2,'null',1,1,bhoffmann_mdb,971040144420720641,1,1,bettina.hoffmannmdb,102012175251503,1,1
2119,2120,8,4,FDP,"Hoffmann, Dr. Christoph",Dr.,Christoph,Hoffmann,1957,2,3,9.0,282.0,1,1,2,'null',1,1,HoffmannForest,1085494381405237251,1,1,dr.christoph.hoffmann.fdp,1165246086869493,1,1
2143,2144,9,6,GRÜNE,"Hofreiter, Dr. Anton Gerhard",Dr.,Anton Gerhard,Hofreiter,1970,2,3,2.0,221.0,1,1,2,'null',1,1,ToniHofreiter,442678902,1,1,anton.hofreiter,598216760241817,1,1
2165,2166,13,3,AfD,"Holm, Leif-Erik",,Leif-Erik,Holm,1970,2,3,1.0,15.0,1,1,2,'null',1,1,Leif_Erik_Holm,739531034761498624,1,1,leiferikholm2,1106238392760356,1,1
2176,2177,1,6,GRÜNE,"Hönel, Bruno",,Bruno,Hönel,1996,2,3,6.0,11.0,0,1,2,'null',0,1,Bruno_Hoenel,859112360228917249,1,1,BrunoHoenel.Gruene,293583127818452,1,2
2183,2184,2,1,CDU,"Hoppermann, Franziska Christina Brigitte",,Franziska Christina Brigitte,Hoppermann,1982,1,3,2.0,22.0,0,1,2,'null',0,1,FHoppermann,883059801747587073,1,1,f.hoppermann,1517688175031426,1,1
2201,2202,8,2,SPD,"Hostert, Jasmina",,Jasmina,Hostert,1982,1,3,9.0,260.0,0,1,2,'null',0,1,JasminaHostert,817937942,1,1,jasmina.hostert,1162955093739508,1,1
2204,2205,5,4,FDP,"Houben, Reinhard Arnold",,Reinhard Arnold,Houben,1960,2,3,8.0,93.0,1,1,2,'null',1,1,HoubenReinhard,825069798140833794,1,1,ReinhardKoeln,271692326585068,1,1
2214,2215,9,3,AfD,"Huber, Johannes Josef",,Johannes Josef,Huber,1987,2,3,6.0,214.0,1,1,2,'null',1,1,HuberMdB,925286741921189888,2,1,Johannes.Huber.AfD,1345340318840587,1,1
2219,2220,7,2,SPD,"Hubertz, Verena Ute",,Verena Ute,Hubertz,1987,1,3,6.0,203.0,0,1,1,33,0,1,verenahubertz,3591923477,1,1,verenahubertz.spd,105233098230457,1,1
2237,2238,9,2,SPD,"Hümpfer, Markus Klaus",,Markus Klaus,Hümpfer,1992,2,3,21.0,250.0,0,1,2,'null',0,1,HumpferMarkus,709129502870409217,2,1,markushuempfer,176212056159223,1,1
2245,2246,5,5,DIE LINKE,"Hunko, Andrej Konstantin",,Andrej Konstantin,Hunko,1963,2,3,4.0,87.0,1,1,2,'null',1,1,AndrejHunko,87281380,1,1,andrej.hunko,704862432868718,1,1
2268,2269,5,4,FDP,"in der Beek, Olaf Karl Wilhelm",,Olaf Karl Wilhelm,in der Beek,1967,2,3,17.0,140.0,1,1,2,'null',1,1,olafinderbeek,913327957602693121,1,1,olafinderbeek,135185067122584,1,1
2284,2285,5,3,AfD,"Jacobi, Fabian",,Fabian,Jacobi,1973,2,3,3.0,93.0,1,1,2,'null',1,1,Jacobi_AfD,944181149424898048,2,1,Jacobi.AfD,383774081995085,1,2
2319,2320,9,6,GRÜNE,"Janecek, Dieter Gerald",,Dieter Gerald,Janecek,1976,2,3,4.0,220.0,1,1,2,'null',1,1,DJanecek,52024480,1,1,DieterJanecekBundestag,1413144042061112,1,1
2331,2332,3,1,CDU,"Janssen, Anne",,Anne,Janssen,1982,1,3,6.0,26.0,0,1,2,'null',0,1,cdu_anne,1347502987200131073,2,1,annejanssen2021,101642368559714,1,2
2335,2336,5,1,CDU,"Jarzombek, Thomas",,Thomas,Jarzombek,1973,2,3,12.0,106.0,1,1,1,"31,1",1,1,tj_tweets,37105136,1,1,thjarzombek,369544409818448,1,1
2349,2350,1,4,FDP,"Jensen-Bornhöft, Gyde",,Gyde,Jensen-Bornhöft,1989,1,3,2.0,2.0,1,1,2,'null',1,1,GydeJ,1530171613,1,1,JensenGyde,147856952517048,1,1
2373,2374,8,3,AfD,"Jongen, Dr. Marc Stephan",Dr.,Marc Stephan,Jongen,1968,2,3,5.0,266.0,1,1,2,'null',1,1,Marc_Jongen,4121053541,1,1,Dr.MarcJongen,824813950905349,1,1
2386,2387,8,4,FDP,"Jung, Dr. Christian",Dr.,Christian,Jung,1977,2,1,10.0,,0,1,2,'null',0,1,c_jung77,740178046649565184,1,1,christianjungfdp,1120084394716274,1,1
2387,2388,6,1,CDU,"Jung, Ingmar Ludwig",,Ingmar Ludwig,Jung,1978,2,3,12.0,179.0,1,1,1,"26,3",1,1,Ingmar_Jung,23296367,1,1,ingmar.jung.3,549326359,2,1
2390,2391,13,2,SPD,"Junge, Frank Michael",,Frank Michael,Junge,1967,2,3,1.0,13.0,1,1,1,"35,2",1,1,jungeinberlin,77928749,2,1,frankjunge,720595767983984,1,1
2396,2397,8,2,SPD,"Juratovic, Josip",,Josip,Juratovic,1959,2,3,18.0,267.0,1,1,2,'null',1,1,josip_juratovic,738731811380076544,1,1,josipjuratovic,53732354560,1,1
2398,2399,8,4,FDP,"Jurisch, Dr. Ann-Veruschka",Dr.,Ann-Veruschka,Jurisch,1972,1,3,14.0,287.0,0,1,2,'null',0,1,avjurisch,1377177846158778373,2,1,avjurisch,115710743642051,1,1
2404,2405,5,2,SPD,"Kaczmarek, Oliver",,Oliver,Kaczmarek,1970,2,3,15.0,144.0,1,1,1,"40,8",1,1,KaczmarekOliver,231440493,1,1,OliverKaczmarekMdB,1560487410667957,1,2
2405,2406,5,6,GRÜNE,"Kaddor, Lamya",,Lamya,Kaddor,1978,1,3,12.0,115.0,0,1,2,'null',0,1,LamyaKaddor,1200442200,1,1,lamya.kaddor,100002518786779,2,1
2415,2416,16,2,SPD,"Kaiser, Elisabeth",,Elisabeth,Kaiser,1987,1,3,2.0,194.0,1,1,2,'null',1,1,Kaiser_SPD,1425035358,1,1,ElisabethKaiser194,1825871520988552,1,1
2448,2449,4,6,GRÜNE,"Kappert-Gonther, Dr. Kirsten",Dr.,Kirsten,Kappert-Gonther,1966,1,3,1.0,54.0,1,1,2,'null',1,1,KirstenKappert,955357684013953025,1,1,KappertGonther,234233933684975,1,1
2451,2452,8,2,SPD,"Karaahmetoǧlu, Macit",,Macit,Karaahmetoǧlu,1968,2,3,14.0,265.0,0,1,2,'null',0,1,Macit_SPD,574582030,2,1,macit.spd,197843980339458,1,1
2454,2455,5,1,CDU,"Karliczek, Anja Maria-Antonia",,Anja Maria-Antonia,Karliczek,1971,1,3,2.0,128.0,1,1,1,34,1,1,AnjaKarliczek,2521976694,1,1,anja.karliczek,327862874003443,1,1
2464,2465,14,2,SPD,"Kasper, Carlos",,Carlos,Kasper,1994,2,3,5.0,163.0,0,1,2,'null',0,1,CaKa_keinScheis,1213136273432440832,2,1,CarlosKasperSPD,105282218350724,1,1
2465,2466,13,2,SPD,"Kassautzki, Anna Katharina",,Anna Katharina,Kassautzki,1993,1,3,2.0,15.0,0,1,1,"24,3",0,1,annakassautzki,2776064484,1,1,annakassautzki,104583201395302,1,1
2471,2472,8,2,SPD,"Katzmarek, Gabriele",,Gabriele,Katzmarek,1960,1,3,11.0,273.0,1,1,2,'null',1,1,GabyKatzmarek,3017602065,1,1,GabrieleKatzmarek,315850548515268,1,1
2479,2480,8,3,AfD,"Kaufmann, Dr. Malte",Dr.,Malte,Kaufmann,1976,2,3,7.0,274.0,0,1,2,'null',0,1,MalteKaufmann,97530140,1,1,kaufmannmalte,1178633522235857,1,1
2481,2482,16,3,AfD,"Kaufmann, Prof. Dr.Michael Heinz",Prof. Dr.,Michael Heinz,Kaufmann,1964,2,3,3.0,195.0,0,1,1,"29,3",0,1,KaufmannAfD,1595763756,2,1,AfDKaufmann,212830898880956,1,1
